policy,cell_id,beta,dataset_tag,exact_count,selected_count,l2_mass_coverage_lambda1,mean_norm_sq,mean_theta_norm,mean_final_train_loss,mean_min_signed_margin,mean_pairwise_norm_distance
current_simple_selected10,cell_beta_0p26_p_0p00,0.26,dataset_008_seed_822234,57,10,0.10705925436103561,10284.947843208718,100.53809233446033,0.002567279056083048,0.02506143400111101,1.4197681292922213
l2_top10_min_norm_exact,cell_beta_0p26_p_0p00,0.26,dataset_009_seed_922234,57,10,0.21479495635798865,1736.4947638493982,41.651595871257484,0.007442661122414085,0.010717250007344876,1.4155083983582624
current_simple_selected10,cell_beta_0p26_p_0p00,0.26,dataset_009_seed_922234,57,10,0.13467712851454425,4301.154113507191,64.71678314918262,0.0023678078461877366,0.16221950688163184,1.4228487670729986
l2_top10_min_norm_exact,cell_beta_0p30_p_0p00,0.3,dataset_000_seed_026234,65,10,0.1811250890628578,1622.908292873626,40.281481124475974,0.007589049524144284,0.00470857464755899,1.415846245830371
current_simple_selected10,cell_beta_0p30_p_0p00,0.3,dataset_000_seed_026234,65,10,0.12943507280270808,3949.745251978375,59.53696106654271,0.0030979865302720117,0.0452675522333996,1.4467866060343877
l2_top10_min_norm_exact,cell_beta_0p30_p_0p00,0.3,dataset_001_seed_126234,55,10,0.2130613638854791,1412.7121396910693,37.57752586175634,0.006597928405958038,0.006102942804913001,1.4144529677839937
current_simple_selected10,cell_beta_0p30_p_0p00,0.3,dataset_001_seed_126234,55,10,0.13374381800741775,4678.086815196913,64.49167236732741,0.0028718706855701526,0.18137306475818363,1.4452029147506715
l2_top10_min_norm_exact,cell_beta_0p30_p_0p00,0.3,dataset_002_seed_226234,56,10,0.23146031925374733,1823.4962959255467,42.68963385767255,0.01097864755848722,0.003119060425186505,1.4128706486694445
current_simple_selected10,cell_beta_0p30_p_0p00,0.3,dataset_002_seed_226234,56,10,0.11952603576497839,5983.710806286303,74.8609817025405,0.0027480802196088653,0.11212910499863545,1.4374306749245422
l2_top10_min_norm_exact,cell_beta_0p30_p_0p00,0.3,dataset_003_seed_326234,64,10,0.19610804616447206,1754.7866653043518,41.87570616333063,0.013726277975911824,0.005484139022159102,1.4168992355427283
current_simple_selected10,cell_beta_0p30_p_0p00,0.3,dataset_003_seed_326234,64,10,0.08824568094550915,6270.226307237459,77.91924451767474,0.0029999834449995766,0.037295720132836725,1.4304595796974402
l2_top10_min_norm_exact,cell_beta_0p30_p_0p00,0.3,dataset_004_seed_426234,88,10,0.12810999153083705,1157.6369501033034,34.01896150909405,0.007174594764821697,0.11400107437719634,1.4169721620886802
current_simple_selected10,cell_beta_0p30_p_0p00,0.3,dataset_004_seed_426234,88,10,0.09634225616459889,2644.373500510749,51.069795620462685,0.0029894201197236355,0.03672515827930854,1.4206811371270498
l2_top10_min_norm_exact,cell_beta_0p30_p_0p00,0.3,dataset_005_seed_526234,72,10,0.15740410755376805,1645.3721012086874,40.55734034920922,0.012505752213646724,0.007657432093983547,1.4157427520085883
current_simple_selected10,cell_beta_0p30_p_0p00,0.3,dataset_005_seed_526234,72,10,0.11158999675247215,3521.034820962879,58.55363143185766,0.004265168610225918,0.0768562622647283,1.4260357464742905
