run,beta,radius,dataset_count,dphi_energy_dr,dphi_energy_dr_sem,dphi_energy_dr_ci95_half_width,source
30 dataset,0.29,0.2,30,-0.0008454025295013958,5.325397899820188e-05,0.00010891661640863492,final_proxy_summary
30 dataset,0.29,0.21,30,-0.000858154527479297,5.322329844503408e-05,0.00010885386763185911,final_proxy_summary
30 dataset,0.29,0.22,30,-0.0008691943543273181,5.353477545243194e-05,0.00010949090964023199,final_proxy_summary
30 dataset,0.29,0.23,30,-0.000880427740403169,5.330798277361351e-05,0.00010902706653089386,final_proxy_summary
30 dataset,0.29,0.24,30,-0.0008911711049482847,5.328430976190528e-05,0.00010897864978562963,final_proxy_summary
30 dataset,0.29,0.25,30,-0.0009016351041075943,5.316070109781866e-05,0.00010872584168181525,final_proxy_summary
30 dataset,0.29,0.26,30,-0.00091229893905101,5.298301807693266e-05,0.00010836243910059551,final_proxy_summary
30 dataset,0.29,0.27,30,-0.0009237172165889156,5.32848833330002e-05,0.00010897982287023483,final_proxy_summary
30 dataset,0.29,0.28,30,-0.0009328763872589129,5.293897135038382e-05,0.00010827235342981892,final_proxy_summary
30 dataset,0.29,0.29,30,-0.0009441493419092377,5.258891523742144e-05,0.0001075564082911785,final_proxy_summary
30 dataset,0.29,0.3,30,-0.0009541326803467872,5.263706859351361e-05,0.00010765489296242638,final_proxy_summary
30 dataset,0.31,0.01,30,-5.405709218723769e-05,7.322018426928314e-06,1.4975209126995653e-05,final_proxy_summary
30 dataset,0.31,0.02,30,-0.0001356277969346904,1.3877888736474797e-05,2.8383469414057818e-05,final_proxy_summary
30 dataset,0.31,0.03,30,-0.0002226119932303229,2.1125579701131667e-05,4.320666181199141e-05,final_proxy_summary
30 dataset,0.31,0.04,30,-0.00030374938208330854,2.7857098399853242e-05,5.697416339118734e-05,final_proxy_summary
30 dataset,0.31,0.05,30,-0.0003766243286938588,3.393697574303874e-05,6.940890875400134e-05,final_proxy_summary
30 dataset,0.31,0.06,30,-0.0004403391071286443,3.905421031821431e-05,7.987482859289677e-05,final_proxy_summary
30 dataset,0.31,0.07,30,-0.0004950083651949862,4.346426340283392e-05,8.889439988493957e-05,final_proxy_summary
30 dataset,0.31,0.08,30,-0.0005442965151349875,4.753095927929939e-05,9.721172683702556e-05,final_proxy_summary
30 dataset,0.31,0.09,30,-0.000586428801464281,5.100881763065913e-05,0.00010432474582836528,final_proxy_summary
30 dataset,0.31,0.1,30,-0.0006226986488483668,5.351447584510155e-05,0.00010944939228159622,final_proxy_summary
30 dataset,0.31,0.11,30,-0.0006557920311061862,5.616141452645533e-05,0.00011486298973360863,final_proxy_summary
30 dataset,0.31,0.12,30,-0.0006853105343315238,5.8414674750698776e-05,0.0001194714243356699,final_proxy_summary
30 dataset,0.31,0.13,30,-0.0007122667340496608,6.0464329572630236e-05,0.00012366343913362436,final_proxy_summary
30 dataset,0.31,0.14,30,-0.0007374155715808416,6.243358705597054e-05,0.0001276910229115436,final_proxy_summary
30 dataset,0.31,0.15,30,-0.0007598237258855989,6.413427909725703e-05,0.0001311693286865219,final_proxy_summary
30 dataset,0.31,0.16,30,-0.0007810773911383341,6.543364572480542e-05,0.00013382683182918187,final_proxy_summary
30 dataset,0.31,0.17,30,-0.0008017811664417345,6.66670696373558e-05,0.0001363494669764452,final_proxy_summary
30 dataset,0.31,0.18,30,-0.0008207069176994112,6.78011876432069e-05,0.0001386689987396883,final_proxy_summary
