eta,ref_id,radius,phi_energy_raw
0.05,1,0.28,-0.0427769796922889
0.05,1,0.29,-0.0465287909818509
0.05,1,0.3,-0.0456714145657058
0.05,1,0.31,-0.0509141513323676
0.05,1,0.32,-0.0442985821520109
0.05,1,0.33,-0.0548113853758902
0.05,1,0.34,-0.0513341302930262
0.05,1,0.35,-0.0575655129210333
0.05,1,0.36,-0.0606445802105668
0.05,1,0.37,-0.055722070725484
0.05,1,0.38,-0.057281357074117
0.05,1,0.39,-0.0588913710805028
0.05,1,0.4,-0.0621259136038192
0.05,1,0.41,-0.0600887742815849
0.05,1,0.42,-0.0614050490775868
0.05,1,0.43,-0.0639766824731293
0.05,1,0.44,-0.0667377376270973
0.05,1,0.45,-0.0700284764897681
0.05,1,0.46,-0.0732290062640731
0.05,1,0.47,-0.0699917322276481
0.05,1,0.48,-0.0711642429230803
0.05,1,0.49,-0.0665398403413979
0.05,1,0.5,-0.0683277579157737
0.05,1,0.51,-0.0729725830169877
0.05,1,0.52,-0.0718740935548007
0.05,1,0.53,-0.073588956515836
0.05,1,0.54,-0.0712525827991984
0.05,1,0.55,-0.0759960089420336
0.05,1,0.56,-0.079687565852371
0.05,1,0.57,-0.0759320051375958
0.05,1,0.58,-0.0749679754147536
0.05,1,0.59,-0.071842449551854
0.05,1,0.6,-0.0805832737250638
0.05,1,0.61,-0.073812390007761
0.05,1,0.62,-0.0812629008384926
0.05,1,0.63,-0.0779943780497056
0.05,1,0.64,-0.0812401716074163
0.05,1,0.65,-0.081415277400643
0.05,1,0.66,-0.0868683269648508
0.05,1,0.67,-0.0781793832363587
0.05,1,0.68,-0.0856639071275979
0.05,1,0.69,-0.0815216638893173
0.05,1,0.7,-0.086779374004582
0.05,1,0.71,-0.0836848778013533
0.05,1,0.72,-0.0818813865430371
0.05,1,0.73,-0.0851373116767576
0.05,1,0.74,-0.0868049957158214
0.05,1,0.75,-0.0865277247887514
0.05,1,0.76,-0.0916372660009477
0.05,1,0.77,-0.0851101159573014
0.05,1,0.78,-0.0860366348688722
0.05,1,0.79,-0.0887666049519589
0.05,1,0.8,-0.0907262239928902
0.05,1,0.81,-0.0879513589107335
0.05,1,0.82,-0.0912083894564825
0.05,1,0.83,-0.087125919927095
0.05,1,0.84,-0.0949568557765069
0.05,1,0.85,-0.0895641170089293
0.05,1,0.86,-0.0942146985869485
0.05,1,0.87,-0.0900797893840543
0.05,1,0.88,-0.0969163241880191
0.05,1,0.89,-0.0897417543406407
0.05,1,0.9,-0.0946910371004486
0.05,1,0.91,-0.0985416591523234
0.05,1,0.92,-0.0963190529443846
0.05,1,0.93,-0.0958784448032628
0.05,1,0.94,-0.0976456241202987
0.05,1,0.95,-0.0965361566588001
0.05,1,0.96,-0.0967627614076404
0.05,1,0.97,-0.099491264718685
0.05,1,0.98,-0.0985495564977654
0.05,1,0.99,-0.0977349500944822
0.05,1,1.0,-0.0918043087295285
0.05,2,0.01,-0.0011160855359585
0.05,2,0.02,-0.0012019259058924
0.05,2,0.03,-0.0013734481200899
0.05,2,0.04,-0.0016774993737323
0.05,2,0.05,-0.0021472609567551
0.05,2,0.06,-0.0028551404916951
0.05,2,0.07,-0.0036802873331893
0.05,2,0.08,-0.0047658045223898
0.05,2,0.09,-0.0060117531620919
0.05,2,0.1,-0.0076625183051454
0.05,2,0.11,-0.0093472303956251
0.05,2,0.12,-0.0112906037505123
0.05,2,0.13,-0.01203003015256
0.05,2,0.14,-0.0150500381364709
0.05,2,0.15,-0.0172138545847049
0.05,2,0.16,-0.0196526611017191
0.05,2,0.17,-0.0213647061463445
0.05,2,0.18,-0.0245329249082986
0.05,2,0.19,-0.0260186896860741
0.05,2,0.2,-0.0280805239377021
0.05,2,0.21,-0.0251440567520104
0.05,2,0.22,-0.0317040100638136
0.05,2,0.23,-0.0340101865635417
0.05,2,0.24,-0.0357110147835031
0.05,2,0.25,-0.0411455056119756
0.05,2,0.26,-0.0436035035477226
0.05,2,0.27,-0.04542834512077
0.05,2,0.28,-0.0452917183562642
0.05,2,0.29,-0.0470623409274565
