q,beta,radius,H_q,H_q_numeric,mean_R_H_at_H_q,ref_count,claim
0.5,0.22,2.0,4.0,4.0,0.9984061065319291,0,
0.9,0.22,2.0,4.0,4.0,0.9984061065319291,0,
0.99,0.22,2.0,4.0,4.0,0.9984061065319291,0,
0.5,0.22,2.1,4.0,4.0,0.9992697263849449,0,
0.9,0.22,2.1,4.0,4.0,0.9992697263849449,0,
0.99,0.22,2.1,4.0,4.0,0.9992697263849449,0,
0.5,0.22,2.2,4.0,4.0,0.9984912451354729,0,
0.9,0.22,2.2,4.0,4.0,0.9984912451354729,0,
0.99,0.22,2.2,4.0,4.0,0.9984912451354729,0,
0.5,0.22,2.3,4.0,4.0,0.9981100969934448,0,
0.9,0.22,2.3,4.0,4.0,0.9981100969934448,0,
0.99,0.22,2.3,4.0,4.0,0.9981100969934448,0,
0.5,0.22,2.4,4.0,4.0,0.998721381631367,0,
0.9,0.22,2.4,4.0,4.0,0.998721381631367,0,
0.99,0.22,2.4,4.0,4.0,0.998721381631367,0,
0.5,0.22,2.5,4.0,4.0,1.0,0,
0.9,0.22,2.5,4.0,4.0,1.0,0,
0.99,0.22,2.5,4.0,4.0,1.0,0,
0.5,0.22,2.6,4.0,4.0,0.9960937499999998,0,
0.9,0.22,2.6,4.0,4.0,0.9960937499999998,0,
0.99,0.22,2.6,4.0,4.0,0.9960937499999998,0,
0.5,0.22,2.7,4.0,4.0,0.9970703124999998,0,
0.9,0.22,2.7,4.0,4.0,0.9970703124999998,0,
0.99,0.22,2.7,4.0,4.0,0.9970703124999998,0,
0.5,0.22,2.8,4.0,4.0,0.9941406249999999,0,
0.9,0.22,2.8,4.0,4.0,0.9941406249999999,0,
0.99,0.22,2.8,4.0,4.0,0.9941406249999999,0,
0.5,0.22,2.9,4.0,4.0,0.9941406249999999,0,
0.9,0.22,2.9,4.0,4.0,0.9941406249999999,0,
0.99,0.22,2.9,4.0,4.0,0.9941406249999999,0,
